PSG Operasyon Müdürl,PSG Operasyn mrkzi 2,Tesisat,Bildirim No,Sipariş No,ENLEM,BOYLAM,Toplam kwh,mahalle adı,ILCE_ADI,KAÇAK NEDENİ,HESAPLAMA YÖNTEMİ,NİTELİKLİ /NİTELİKSİZ DURUMU,Kulnc Drm.(CS Order),Sipariş türü,Gerçekleşen Tarih(sipariş),İşyeri/kaynak,Sonuç 1,Sonuç 1 grup kodu,Sonuç 2,Sonuç 2 grup kodu,Sonuç 3,Sonuç 3 grup kodu
BOĞAZ DAĞ. OP. MÜD.,ÜSKÜDAR O.M.,4005751691.0,599197827.0,686994607.0,41.0198792216178,29.0168233941174,6102,AHMEDİYE,ÜSKÜDAR,6.0,1.0,NİTELİKLİ,OK,VC,25.11.2023,6800/50030253,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005716166.0,599136688.0,686942759.0,40.8932306909739,29.1965431388827,6067,ÇAVUŞOĞLU,KARTAL,12.0,1.0,NİTELİKLİ,OK,VL,16.11.2023,6800/50030216,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ATAŞEHİR O.M.,4005515594.0,592181254.0,680976829.0,40.9718622426953,29.1201591158608,6049,İÇERENKÖY,ATAŞEHİR,6.0,1.0,NİTELİKLİ,OK,ZM,23.01.2023,6800/50030259,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,592676533.0,681413736.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,02.02.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,593370324.0,682030312.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,ZM,11.03.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,593978969.0,682546971.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,08.04.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Takılamadı,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,594396284.0,682897126.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,08.05.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,594625441.0,683089590.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,24.05.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,595886740.0,684173267.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,13.07.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,596670218.0,684827562.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,ZM,10.08.2023,6800/50030207,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,597094222.0,685176191.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,25.08.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,597239893.0,685297273.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,31.08.2023,6800/50030212,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,598253947.0,686169319.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,09.10.2023,6800/50030217,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,598848133.0,686695053.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,02.11.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,598999056.0,686823663.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,ZM,16.11.2023,6800/50030204,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,599565794.0,687301110.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,ZM,06.12.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005740505.0,599863713.0,687548876.0,40.9308214163795,29.1344642015911,6012,ALTAYÇEŞME,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,21.12.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4010330333.0,594290070.0,682808615.0,41.0910661771579,29.1253397487431,5967,FATİH,BEYKOZ,6.0,1.0,NİTELİKLİ,OK,VC,03.05.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4010330333.0,597066945.0,685154319.0,41.0910661771579,29.1253397487431,5967,FATİH,BEYKOZ,6.0,1.0,NİTELİKLİ,OK,VC,24.08.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,ŞİLE O.M.,4004297208.0,599566373.0,687301530.0,41.1527906368271,29.6468340874933,5965,ÇAYIRBAŞI,ŞİLE,6.0,1.0,NİTELİKLİ,OK,VC,06.12.2023,6800/50620003,HATTAN DA KESİLMELİ,DİĞER SONUÇLAR,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4004430797.0,599750642.0,687453993.0,40.9952454318993,29.041942089196,5955,HASANPAŞA,KADIKÖY,12.0,1.0,NİTELİKLİ,OK,VL,15.12.2023,6800/50030212,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004762931.0,594019222.0,682580119.0,40.9449316888201,29.154141206208,5952,ZÜMRÜTEVLER,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,09.05.2023,6800/50030217,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004762931.0,595481894.0,683824766.0,40.9449316888201,29.154141206208,5952,ZÜMRÜTEVLER,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,23.06.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Yerinde Kalacak,KAVİ İŞLEMLERİ
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004086602.0,593796657.0,682395523.0,41.0339769396892,29.0860048372072,5952,YAVUZTÜRK,ÜSKÜDAR,6.0,1.0,NİTELİKLİ,OK,VC,30.03.2023,6800/50030219,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004086602.0,596504531.0,684690938.0,41.0339769396892,29.0860048372072,5952,YAVUZTÜRK,ÜSKÜDAR,6.0,1.0,NİTELİKLİ,OK,VC,07.08.2023,6800/50030251,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KADIKÖY O.M.,4005771788.0,599395781.0,687159275.0,40.9968274768724,29.0480471840591,5948,HASANPAŞA,KADIKÖY,6.0,1.0,NİTELİKLİ,OK,ZM,01.12.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4013000753.0,599209728.0,687021055.0,40.88051775,29.28041072,5940,KAVAKPINAR,PENDİK,6.0,1.0,NİTELİKLİ,OK,ZM,21.11.2023,6800/50030210,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4013000753.0,599570395.0,687314471.0,40.88051775,29.28041072,5940,KAVAKPINAR,PENDİK,5.0,1.0,NİTELİKLİ,OK,ZM,08.12.2023,6800/50030210,KAYITTA OLMAYAN SAYAÇ(TESİSATLI).,KAÇAK,KAÇAKTAN KESME YAPILMADI.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4003865470.0,598443389.0,686339481.0,41.008677006611,29.2117942647729,5930,SARIGAZİ,SANCAKTEPE,4.0,1.0,NİTELİKLİ,OK,VC,16.10.2023,6800/50070077,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Kavi Takılamadı,KAVİ İŞLEMLERİ
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004637200.0,592887033.0,681600437.0,40.9228381803448,29.1271463989221,5909,YALI,MALTEPE,6.0,1.0,NİTELİKLİ,OK,VC,15.02.2023,6800/50030211,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4004616432.0,593835630.0,682428718.0,40.8843481053917,29.272734764989,5894,ESENLER,PENDİK,6.0,1.0,NİTELİKLİ,OK,VC,06.04.2023,6800/50030221,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,HATTAN DA KESİLMELİ,DİĞER SONUÇLAR,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK
MARMARA DAĞ. OP. MÜD,PENDİK O.M.,4005356110.0,597408534.0,685443710.0,40.8771930790665,29.231122241066,5860,BATI,PENDİK,4.0,1.0,NİTELİKLİ,OK,ZM,14.09.2023,6800/50030213,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4004567268.0,593325767.0,681992513.0,40.9085811941747,29.2248454831706,5857,CUMHURİYET,KARTAL,6.0,1.0,NİTELİKLİ,OK,VC,07.03.2023,6800/50030221,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4012346503.0,593047691.0,681743919.0,40.9085192601197,29.1620050929487,5836,ORHANTEPE,KARTAL,12.0,1.0,NİTELİKLİ,OK,VL,24.02.2023,6800/50030203,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,TUZLA O.M.,4005728863.0,598914838.0,686751024.0,40.8267837831697,29.3104512078402,5836,YAYLA,TUZLA,12.0,1.0,NİTELİKLİ,OK,VL,07.11.2023,6800/50030214,VL_LAB SONUCU KAÇAK KULLANIM.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4010292333.0,598369149.0,686274250.0,41.0259682311904,29.222078159400308,5835,GÜNGÖREN,ÇEKMEKÖY,5.0,1.0,NİTELİKLİ,OK,VC,12.10.2023,6800/51740201,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,KAYITTA OLMAYAN SAYAÇ(TESİSATLI).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4013010804.0,599392286.0,687156691.0,41.0461454,29.11434759999999,5832,İNKILAP,ÜMRANİYE,9.0,1.0,NİTELİKLİ,OK,VC,02.12.2023,6800/50030255,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,VANİKÖY O.M.,4012277848.0,593335807.0,682001183.0,41.0534506,29.0794468,5789,BAHÇELİEVLER,ÜSKÜDAR,8.0,1.0,NİTELİKLİ,OK,VC,18.03.2023,6800/50030249,ŞEBEKEDEN KAÇAK HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,VANİKÖY O.M.,4012277848.0,595222197.0,683600504.0,41.0534506,29.0794468,5789,BAHÇELİEVLER,ÜSKÜDAR,8.0,1.0,NİTELİKLİ,OK,VC,14.06.2023,6800/50030249,ŞEBEKEDEN KAÇAK HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004897350.0,599711889.0,687421565.0,41.0923927655843,29.1116845203316,5760,FATİH,BEYKOZ,4.0,1.0,NİTELİKLİ,OK,VC,13.12.2023,6800/50030254,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4005598318.0,700005084.0,687671070.0,41.0099472546682,29.216094546693,5760,İNÖNÜ,SANCAKTEPE,4.0,1.0,NİTELİKLİ,OK,VC,27.12.2023,6800/50030241,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4005101785.0,592916111.0,681626329.0,41.0185978272593,29.0824944239463,5760,BULGURLU,ÜSKÜDAR,4.0,1.0,NİTELİKLİ,OK,VC,16.02.2023,6800/50030250,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004708097.0,598706928.0,686571347.0,41.0056873539449,29.0915203174651,5760,AŞIKVEYSEL,ATAŞEHİR,4.0,1.0,NİTELİKLİ,OK,VC,01.11.2023,6800/50030251,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,ŞİLE O.M.,4012882479.0,595685753.0,684003130.0,41.16489259999999,29.6054957,5751,ÇAVUŞ,ŞİLE,9.0,1.0,NİTELİKLİ,OK,ZM,14.07.2023,6800/50640201,KAYITTA OLMAYAN SAYAÇ(TESİSATSIZ).,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4010511771.0,592948857.0,681655817.0,40.9973940344684,29.2255196105917,5748,ABDURRAHMANGAZİ,SANCAKTEPE,6.0,1.0,NİTELİKLİ,OK,ZM,28.02.2023,6800/51440202,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
MARMARA DAĞ. OP. MÜD,KARTAL O.M.,4005569345.0,594872250.0,683292559.0,40.8955766164859,29.2131336276378,5730,YUNUS,KARTAL,10.0,1.0,NİTELİKLİ,OK,VC,31.05.2023,6800/50030214,ELEKTRONİK SAYAÇ ANADEPOYA GİDECEK,CİHAZ DEĞİŞİMİ,ÖLÇÜ DEVRESİNE MÜDAHALE.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012045409.0,593757250.0,682362417.0,40.9944890197367,29.2462281435728,5729,ABDURRAHMANGAZİ,SANCAKTEPE,6.0,1.0,NİTELİKLİ,OK,VC,30.03.2023,6800/50070077,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012045409.0,595277052.0,683647169.0,40.9944890197367,29.2462281435728,5729,ABDURRAHMANGAZİ,SANCAKTEPE,6.0,1.0,NİTELİKLİ,OK,VC,16.06.2023,6800/50030243,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012045409.0,596298677.0,684517266.0,40.9944890197367,29.2462281435728,5729,ABDURRAHMANGAZİ,SANCAKTEPE,6.0,1.0,NİTELİKLİ,OK,VC,21.08.2023,6800/50030243,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012045409.0,597922223.0,685886054.0,40.9944890197367,29.2462281435728,5729,ABDURRAHMANGAZİ,SANCAKTEPE,6.0,1.0,NİTELİKLİ,OK,VC,27.09.2023,6800/50030243,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
KARADENİZ DAĞ. OP. M,SANCAKTEPE O.M.,4012045409.0,599074617.0,686888992.0,40.9944890197367,29.2462281435728,5729,ABDURRAHMANGAZİ,SANCAKTEPE,6.0,1.0,NİTELİKLİ,OK,VC,14.11.2023,6800/50030244,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005109837.0,593960804.0,682531277.0,41.0135958013378,29.1493445718396,5717,YUKARI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,17.04.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005109837.0,594887367.0,683305647.0,41.0135958013378,29.1493445718396,5717,YUKARI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,01.06.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005109837.0,595187109.0,683569722.0,41.0135958013378,29.1493445718396,5717,YUKARI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,13.06.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005109837.0,595527679.0,683862045.0,41.0135958013378,29.1493445718396,5717,YUKARI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,25.07.2023,6800/50030252,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4005918650.0,595237960.0,683613528.0,41.0170767687754,29.1918261816047,5712,ÇAMLIK,ÇEKMEKÖY,6.0,1.0,NİTELİKLİ,OK,ZM,15.06.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004022729.0,593706902.0,682320037.0,41.0359284260329,29.1021716221233,5711,KAZIM KARABEKİR,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,24.03.2023,6800/50030255,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÜMRANİYE O.M.,4004022729.0,594587387.0,683057090.0,41.0359284260329,29.1021716221233,5711,KAZIM KARABEKİR,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,16.06.2023,6800/50030219,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4010548274.0,595059776.0,683457205.0,41.0050185746894,29.1491033409833,5702,YUKARI DUDULLU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,08.06.2023,6800/50030260,ÖZEL HAT.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004265895.0,593794995.0,682394081.0,41.0004167326562,29.1393158180774,5688,TATLISU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,31.03.2023,6800/50030260,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004265895.0,594887053.0,683305330.0,41.0004167326562,29.1393158180774,5688,TATLISU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,07.06.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004265895.0,596504700.0,684691122.0,41.0004167326562,29.1393158180774,5688,TATLISU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,02.08.2023,6800/50030260,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004265895.0,598338020.0,686245829.0,41.0004167326562,29.1393158180774,5688,TATLISU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,VC,21.10.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
BOĞAZ DAĞ. OP. MÜD.,ÇEKMEKÖY O.M.,4004265895.0,598571593.0,686451012.0,41.0004167326562,29.1393158180774,5688,TATLISU,ÜMRANİYE,6.0,1.0,NİTELİKLİ,OK,ZM,21.11.2023,6800/50030254,SAYAÇSIZ/BAĞLANTISIZ ENERJİ KULLANIMI.,KAÇAK,KAÇAKTAN KESİLDİ.,KAÇAK,Tayin edilmedi,Tayin edilmedi
